statement,label,relation,subject,target,true_target
IBM 4300 was created by IBM.,1,{} was created by,IBM 4300,IBM,IBM
IBM 4300 was created by Microsoft.,0,{} was created by,IBM 4300,Microsoft,IBM
Four Kings is to debut on NBC.,1,{} is to debut on,Four Kings,NBC,NBC
Four Kings is to debut on CBS.,0,{} is to debut on,Four Kings,CBS,NBC
Rai 1 is owned by Rai.,1,{} is owned by,Rai 1,Rai,Rai
Rai 1 is owned by Germany.,0,{} is owned by,Rai 1,Germany,Rai
Daniel Auster found employment in Jerusalem.,1,{} found employment in,Daniel Auster,Jerusalem,Jerusalem
Daniel Auster found employment in Cologne.,0,{} found employment in,Daniel Auster,Cologne,Jerusalem
Nick Brignola is known for performing jazz.,1,{} is known for performing,Nick Brignola,jazz,jazz
Nick Brignola is known for performing opera.,0,{} is known for performing,Nick Brignola,opera,jazz
Richard Wagner lost their life at Venice.,1,{} lost their life at,Richard Wagner,Venice,Venice
Richard Wagner lost their life at Paris.,0,{} lost their life at,Richard Wagner,Paris,Venice
Felix Bloch works in the area of physics.,1,{} works in the area of,Felix Bloch,physics,physics
Felix Bloch works in the area of photography.,0,{} works in the area of,Felix Bloch,photography,physics
The mother tongue of Hannah Szenes is Hungarian.,1,The mother tongue of {} is,Hannah Szenes,Hungarian,Hungarian
The mother tongue of Hannah Szenes is Russian.,0,The mother tongue of {} is,Hannah Szenes,Russian,Hungarian
Khalifa bin Zayed Al Nahyan follows the religion of Islam.,1,{} follows the religion of,Khalifa bin Zayed Al Nahyan,Islam,Islam
Khalifa bin Zayed Al Nahyan follows the religion of Buddhism.,0,{} follows the religion of,Khalifa bin Zayed Al Nahyan,Buddhism,Islam
Laurent Casanova is a native speaker of French.,1,{} is a native speaker of,Laurent Casanova,French,French
Laurent Casanova is a native speaker of Greek.,0,{} is a native speaker of,Laurent Casanova,Greek,French
The language used by Paul-Armand Challemel-Lacour is French.,1,The language used by {} is,Paul-Armand Challemel-Lacour,French,French
The language used by Paul-Armand Challemel-Lacour is Hindi.,0,The language used by {} is,Paul-Armand Challemel-Lacour,Hindi,French
T. H. Parry-Williams writes in Welsh.,1,{} writes in,T. H. Parry-Williams,Welsh,Welsh
T. H. Parry-Williams writes in French.,0,{} writes in,T. H. Parry-Williams,French,Welsh
The language of Radio Times is English.,1,The language of {} is,Radio Times,English,English
The language of Radio Times is Tamil.,0,The language of {} is,Radio Times,Tamil,English
Hamilton Hume holds a citizenship from Australia.,1,{} holds a citizenship from,Hamilton Hume,Australia,Australia
Hamilton Hume holds a citizenship from Israel.,0,{} holds a citizenship from,Hamilton Hume,Israel,Australia
Jeff Kemp plays in the position of quarterback.,1,{} plays in the position of,Jeff Kemp,quarterback,quarterback
Jeff Kemp plays in the position of midfielder.,0,{} plays in the position of,Jeff Kemp,midfielder,quarterback
Metaweb is owned by Google.,1,{} is owned by,Metaweb,Google,Google
Metaweb is owned by Germany.,0,{} is owned by,Metaweb,Germany,Google
The language of Maria Chapdelaine is French.,1,The language of {} is,Maria Chapdelaine,French,French
The language of Maria Chapdelaine is Spanish.,0,The language of {} is,Maria Chapdelaine,Spanish,French
Kaohsiung is a twin city of Brisbane.,1,{} is a twin city of,Kaohsiung,Brisbane,Brisbane
Kaohsiung is a twin city of Copenhagen.,0,{} is a twin city of,Kaohsiung,Copenhagen,Brisbane
The native language of Georges Pompidou is French.,1,The native language of {} is,Georges Pompidou,French,French
The native language of Georges Pompidou is Greek.,0,The native language of {} is,Georges Pompidou,Greek,French
Mukesh Tiwari writes in Tamil.,1,{} writes in,Mukesh Tiwari,Tamil,Tamil
Mukesh Tiwari writes in English.,0,{} writes in,Mukesh Tiwari,English,Tamil
Edward Vesala performs jazz.,1,{} performs,Edward Vesala,jazz,jazz
Edward Vesala performs opera.,0,{} performs,Edward Vesala,opera,jazz
Spicket River is within Massachusetts.,1,{} is within,Spicket River,Massachusetts,Massachusetts
Spicket River is within Independence.,0,{} is within,Spicket River,Independence,Massachusetts
Riga is a twin city of Kiev.,1,{} is a twin city of,Riga,Kiev,Kiev
Riga is a twin city of Athens.,0,{} is a twin city of,Riga,Athens,Kiev
Nissan Quest is developed by Nissan.,1,{} is developed by,Nissan Quest,Nissan,Nissan
Nissan Quest is developed by Nintendo.,0,{} is developed by,Nissan Quest,Nintendo,Nissan
Penclawdd can be found in Swansea.,1,{} can be found in,Penclawdd,Swansea,Swansea
Penclawdd can be found in Ohio.,0,{} can be found in,Penclawdd,Ohio,Swansea
Kerry Hill originates from Perth.,1,{} originates from,Kerry Hill,Perth,Perth
Kerry Hill originates from Syracuse.,0,{} originates from,Kerry Hill,Syracuse,Perth
IBM Generalized Markup Language is developed by IBM.,1,{} is developed by,IBM Generalized Markup Language,IBM,IBM
IBM Generalized Markup Language is developed by Sega.,0,{} is developed by,IBM Generalized Markup Language,Sega,IBM
Athanase David was employed in Montreal.,1,{} was employed in,Athanase David,Montreal,Montreal
Athanase David was employed in Hamburg.,0,{} was employed in,Athanase David,Hamburg,Montreal
Henry Schradieck performs on the violin.,1,{} performs on the,Henry Schradieck,violin,violin
Henry Schradieck performs on the trumpet.,0,{} performs on the,Henry Schradieck,trumpet,violin
David Hilbert's domain of work is geometry.,1,{}'s domain of work is,David Hilbert,geometry,geometry
David Hilbert's domain of work is physics.,0,{}'s domain of work is,David Hilbert,physics,geometry
Alte Oper is located in Frankfurt.,1,{} is located in,Alte Oper,Frankfurt,Frankfurt
Alte Oper is located in Nevada.,0,{} is located in,Alte Oper,Nevada,Frankfurt
Andrew Ross Sorkin's profession is a journalist.,1,{}'s profession is a,Andrew Ross Sorkin,journalist,journalist
Andrew Ross Sorkin's profession is a poet.,0,{}'s profession is a,Andrew Ross Sorkin,poet,journalist
The Sports Reporters was released on ESPN.,1,{} was released on,The Sports Reporters,ESPN,ESPN
The Sports Reporters was released on HBO.,0,{} was released on,The Sports Reporters,HBO,ESPN
Edurne spoke the language Spanish.,1,{} spoke the language,Edurne,Spanish,Spanish
Edurne spoke the language French.,0,{} spoke the language,Edurne,French,Spanish
Christian Magnus Falsen took up work in Oslo.,1,{} took up work in,Christian Magnus Falsen,Oslo,Oslo
Christian Magnus Falsen took up work in Berlin.,0,{} took up work in,Christian Magnus Falsen,Berlin,Oslo
"Josiah Quincy, Jr. was employed in Boston.",1,{} was employed in,"Josiah Quincy, Jr.",Boston,Boston
"Josiah Quincy, Jr. was employed in London.",0,{} was employed in,"Josiah Quincy, Jr.",London,Boston
Michael Stapleton was originally from Dublin.,1,{} was originally from,Michael Stapleton,Dublin,Dublin
Michael Stapleton was originally from Warsaw.,0,{} was originally from,Michael Stapleton,Warsaw,Dublin
The language of The Reckoning of Time is Latin.,1,The language of {} is,The Reckoning of Time,Latin,Latin
The language of The Reckoning of Time is Korean.,0,The language of {} is,The Reckoning of Time,Korean,Latin
The original language of The Adventure Game was English.,1,The original language of {} was,The Adventure Game,English,English
The original language of The Adventure Game was Italian.,0,The original language of {} was,The Adventure Game,Italian,English
The Denver Dry Goods Company is based in Denver.,1,{} is based in,The Denver Dry Goods Company,Denver,Denver
The Denver Dry Goods Company is based in Barcelona.,0,{} is based in,The Denver Dry Goods Company,Barcelona,Denver
Kelly Link plays fantasy.,1,{} plays,Kelly Link,fantasy,fantasy
Kelly Link plays jazz.,0,{} plays,Kelly Link,jazz,fantasy
Sopot International Song Festival was formulated in Poland.,1,{} was formulated in,Sopot International Song Festival,Poland,Poland
Sopot International Song Festival was formulated in Denmark.,0,{} was formulated in,Sopot International Song Festival,Denmark,Poland
The law in Montenegro declares the language Croatian.,1,The law in {} declares the language,Montenegro,Croatian,Croatian
The law in Montenegro declares the language Catalan.,0,The law in {} declares the language,Montenegro,Catalan,Croatian
Emanuel Larsen was born in Copenhagen.,1,{} was born in,Emanuel Larsen,Copenhagen,Copenhagen
Emanuel Larsen was born in Salvador.,0,{} was born in,Emanuel Larsen,Salvador,Copenhagen
Popu Lady formed in Taiwan.,1,{} formed in,Popu Lady,Taiwan,Taiwan
Popu Lady formed in Glasgow.,0,{} formed in,Popu Lady,Glasgow,Taiwan
Pierre Pelot spoke the language French.,1,{} spoke the language,Pierre Pelot,French,French
Pierre Pelot spoke the language Dutch.,0,{} spoke the language,Pierre Pelot,Dutch,French
Lovespring International premieres on Lifetime.,1,{} premieres on,Lovespring International,Lifetime,Lifetime
Lovespring International premieres on NBC.,0,{} premieres on,Lovespring International,NBC,Lifetime
"In Israel, they understand Hebrew.",1,"In {}, they understand",Israel,Hebrew,Hebrew
"In Israel, they understand German.",0,"In {}, they understand",Israel,German,Hebrew
The language used by Dirk Bogarde is English.,1,The language used by {} is,Dirk Bogarde,English,English
The language used by Dirk Bogarde is Dutch.,0,The language used by {} is,Dirk Bogarde,Dutch,English
Arthur Phillip is a citizen of Australia.,1,{} is a citizen of,Arthur Phillip,Australia,Australia
Arthur Phillip is a citizen of Vietnam.,0,{} is a citizen of,Arthur Phillip,Vietnam,Australia
The language of An Innocent Man is English.,1,The language of {} is,An Innocent Man,English,English
The language of An Innocent Man is Hindi.,0,The language of {} is,An Innocent Man,Hindi,English
web application works in the field of website.,1,{} works in the field of,web application,website,website
web application works in the field of physics.,0,{} works in the field of,web application,physics,website
Million Dollar Password is to debut on CBS.,1,{} is to debut on,Million Dollar Password,CBS,CBS
Million Dollar Password is to debut on MTV.,0,{} is to debut on,Million Dollar Password,MTV,CBS
The headquarters of Grattan plc is in Bradford.,1,The headquarters of {} is in,Grattan plc,Bradford,Bradford
The headquarters of Grattan plc is in London.,0,The headquarters of {} is in,Grattan plc,London,Bradford
Warren Spahn is a professional baseball.,1,{} is a professional,Warren Spahn,baseball,baseball
Warren Spahn is a professional basketball.,0,{} is a professional,Warren Spahn,basketball,baseball
Antonio Sartorio died at Venice.,1,{} died at,Antonio Sartorio,Venice,Venice
Antonio Sartorio died at London.,0,{} died at,Antonio Sartorio,London,Venice
Deep Crimson was created in the country of Mexico.,1,{} was created in the country of,Deep Crimson,Mexico,Mexico
Deep Crimson was created in the country of India.,0,{} was created in the country of,Deep Crimson,India,Mexico
Boniface I's life ended in Rome.,1,{}'s life ended in,Boniface I,Rome,Rome
Boniface I's life ended in Birmingham.,0,{}'s life ended in,Boniface I,Birmingham,Rome
Greece is a member of NATO.,1,{} is a member of,Greece,NATO,NATO
Greece is a member of FIFA.,0,{} is a member of,Greece,FIFA,NATO
The headquarter of Alligator Records is in Chicago.,1,The headquarter of {} is in,Alligator Records,Chicago,Chicago
The headquarter of Alligator Records is in London.,0,The headquarter of {} is in,Alligator Records,London,Chicago
Uzbekistan Football Association is a part of the FIFA.,1,{} is a part of the,Uzbekistan Football Association,FIFA,FIFA
Uzbekistan Football Association is a part of the UNESCO.,0,{} is a part of the,Uzbekistan Football Association,UNESCO,FIFA
The language of Jab Pyaar Kisise Hota Hai was Hindi.,1,The language of {} was,Jab Pyaar Kisise Hota Hai,Hindi,Hindi
The language of Jab Pyaar Kisise Hota Hai was Tamil.,0,The language of {} was,Jab Pyaar Kisise Hota Hai,Tamil,Hindi
Hernando de Soto is a citizen of Cuba.,1,{} is a citizen of,Hernando de Soto,Cuba,Cuba
Hernando de Soto is a citizen of France.,0,{} is a citizen of,Hernando de Soto,France,Cuba
Blake Mills is native to California.,1,{} is native to,Blake Mills,California,California
Blake Mills is native to Dublin.,0,{} is native to,Blake Mills,Dublin,California
Said Mohamed Djohar's profession is an politician.,1,{}'s profession is an,Said Mohamed Djohar,politician,politician
Said Mohamed Djohar's profession is an physicist.,0,{}'s profession is an,Said Mohamed Djohar,physicist,politician
Herman Dooyeweerd is a native speaker of Dutch.,1,{} is a native speaker of,Herman Dooyeweerd,Dutch,Dutch
Herman Dooyeweerd is a native speaker of French.,0,{} is a native speaker of,Herman Dooyeweerd,French,Dutch
"In Turku, they understand Finnish.",1,"In {}, they understand",Turku,Finnish,Finnish
"In Turku, they understand English.",0,"In {}, they understand",Turku,English,Finnish
Emil Cioran spoke the language Romanian.,1,{} spoke the language,Emil Cioran,Romanian,Romanian
Emil Cioran spoke the language French.,0,{} spoke the language,Emil Cioran,French,Romanian
The official religion of Abdolkarim Soroush is Islam.,1,The official religion of {} is,Abdolkarim Soroush,Islam,Islam
The official religion of Abdolkarim Soroush is Judaism.,0,The official religion of {} is,Abdolkarim Soroush,Judaism,Islam
Albert Camus speaks the language French.,1,{} speaks the language,Albert Camus,French,French
Albert Camus speaks the language English.,0,{} speaks the language,Albert Camus,English,French
Lakewood Church is within Houston.,1,{} is within,Lakewood Church,Houston,Houston
Lakewood Church is within Manhattan.,0,{} is within,Lakewood Church,Manhattan,Houston
Saint Petersburg is a twin city of Havana.,1,{} is a twin city of,Saint Petersburg,Havana,Havana
Saint Petersburg is a twin city of Sheffield.,0,{} is a twin city of,Saint Petersburg,Sheffield,Havana
Paddy Lowe works for McLaren.,1,{} works for,Paddy Lowe,McLaren,McLaren
Paddy Lowe works for BBC.,0,{} works for,Paddy Lowe,BBC,McLaren
Rubens Barrichello holds a citizenship from Brazil.,1,{} holds a citizenship from,Rubens Barrichello,Brazil,Brazil
Rubens Barrichello holds a citizenship from Canada.,0,{} holds a citizenship from,Rubens Barrichello,Canada,Brazil
pink was called after Rosa.,1,{} was called after,pink,Rosa,Rosa
pink was called after Cleveland.,0,{} was called after,pink,Cleveland,Rosa
Oscar Sala was native to Milan.,1,{} was native to,Oscar Sala,Milan,Milan
Oscar Sala was native to Paris.,0,{} was native to,Oscar Sala,Paris,Milan
Lee Roy Jordan plays as linebacker.,1,{} plays as,Lee Roy Jordan,linebacker,linebacker
Lee Roy Jordan plays as goaltender.,0,{} plays as,Lee Roy Jordan,goaltender,linebacker
Fireside Theater was originally aired on NBC.,1,{} was originally aired on,Fireside Theater,NBC,NBC
Fireside Theater was originally aired on BBC.,0,{} was originally aired on,Fireside Theater,BBC,NBC
Bryant Butler Brooks's profession is an politician.,1,{}'s profession is an,Bryant Butler Brooks,politician,politician
Bryant Butler Brooks's profession is an actor.,0,{}'s profession is an,Bryant Butler Brooks,actor,politician
Fiat Albea is created by Fiat.,1,{} is created by,Fiat Albea,Fiat,Fiat
Fiat Albea is created by Nissan.,0,{} is created by,Fiat Albea,Nissan,Fiat
Buzzy Drootin is known for performing jazz.,1,{} is known for performing,Buzzy Drootin,jazz,jazz
Buzzy Drootin is known for performing opera.,0,{} is known for performing,Buzzy Drootin,opera,jazz
